spanish_src,english_ref,model_output,input_ppl,hit_max_tokens,spanish_tokens,english_ref_tokens,output_tokens,spanish_chars,english_ref_chars,output_chars,spanish_fertility,english_ref_fertility,output_fertility,is_empty,is_repetitive,has_spanish_leak,length_ratio,is_too_short,is_too_long
"“Estos estados del CCG no son para nada competentes para lidiar con pedidos populares de libertad, sin dejar de mencionar gobierno democrático, porque ellos mismos son en su mayoría regímenes despóticos”, observó el Consejo de Coordinación de Yemen de la Revolución Juvenil de Cambio (CCYRC, por sus siglas en inglés). ","“These GCC states are not at all competent to deal with popular requests for liberty and freedom, not to mention democratic government, because they themselves are mostly despotic regimes,” observed Yemen’s Coordinating Council of the Youth Revolution of Change (CCYRC). ","“These states of the CCG are not for nothing competent to deal with popular demands, without forgetting the democratic government, because they are in their majority regimes despotic.”",22.75,True,94,53,34,269,231,157,0.34944237918215615,0.22943722943722944,0.21656050955414013,False,False,False,0.6415094339622641,False,False
"El cambio en la política del gobierno es una cambio que polariza, y Twitter ha visto un desborde de opiniones de los habitantes de Qatar, ciudadanos y residentes en el país. ","The change in government policy is a polarizing one, and Twitter has seen an outpouring of opinions from residents of Qatar, both citizens and expats. ","The change in the government policy is a change that polarizes, and Twitter has seen a surge of opinions of the citizens of Qatar, citizens and residents in the country.",40.5,True,46,33,34,143,126,140,0.32167832167832167,0.2619047619047619,0.24285714285714285,False,False,False,1.0303030303030303,False,False
"ISRO (ing), que constituye la espina dorsal, ofrece conectividad por satélite tal como GRAMSAT (ing) El Ministerio de salud y de bienestar familiar y su Red de telemedicina rural trabajan bajo el alero de la Misión nacional de salud rural (ing) Hospitales privados tales como Apollo (p. ej.: El proyecto Aragonda (ing)) ","ISRO, offering connectivity backbone through satcom applications such as GRAMSAT The Ministry of Health & Family welfare and its National Rural Telemedicine Network working under the wings of the National Rural Health Mission Private hospitals such as Apollo (Ex: The Aragonda project) ","ISRO (ing), which constitutes the dorsal spine, provides connectivity by satellite as GRAMSAT (ing) The Ministry of health and family and its rural telemedicine service work under the supervision of the national mission of rural telemedicine (ing) Private hospitals such as Apollo (p. ej.: The project Aragonda (ing))",54.5,True,96,55,69,268,244,270,0.3582089552238806,0.22540983606557377,0.25555555555555554,False,False,True,1.2545454545454546,False,False
Aleksandar Lambevski lo explica en el blog Sextures: ,Aleksandar Lambevski explained on the blog Sextures: ,Aleksandar Lambevski explains in the blog Sextures:,368.0,True,17,15,14,45,46,45,0.37777777777777777,0.32608695652173914,0.3111111111111111,False,False,False,0.9333333333333333,False,False
Ayer también averigué que es un de los símbolos del futuro de Turquía. ,"Yesterday I also I found out, that he is one of the symbols of Turkey’s future. ",Today I also found out that it is one of the symbols of the future of Turkey.,43.25,True,23,21,18,58,64,61,0.39655172413793105,0.328125,0.29508196721311475,False,False,False,0.8571428571428571,False,False
"Sin embargo, la única reacción por parte de la administración ha sido eludir su responsabilidad de proporcionar seguridad a los ciudadanos, pidiendo a todos los propietarios de centros comerciales, bares y comercios no contar con personal femenino a partir de las 20:00 h. ","But all the administration could do in response is to shrug off its responsibility to provide safety to the citizens, by asking all malls, commercial establishments and pub owners not to have women employees working beyond 8pm at night. ","The only response by the administration has been to deny responsibility for providing security to the citizens, asking all the proprietors of commercial centers, bars and restaurants not to count on female employees from the 20:00 hours.",10.5625,True,79,46,43,230,198,201,0.34347826086956523,0.23232323232323232,0.21393034825870647,False,False,False,0.9347826086956522,False,False
"Ahora toda su actividad está centrada en la página, mientras usa la cuenta privada para comunicarse con sus amigos reales. ","All her activity is now focused on the page, while she uses the private account to communicate with her real friends. ","Now all of her activity is centered on the page, while using the private account to communicate with her real friends.",17.125,True,37,24,23,103,97,98,0.3592233009708738,0.24742268041237114,0.23469387755102042,False,False,False,0.9583333333333334,False,False
700 trabajadores fueron instados por Huawei Technologies a renunciar para que la empresa evitara firmar contratos indefinidos con ellos. ,7000 employees were urged by the Huawei Technologies to resign so that the company could avoid signing open-ended contracts with them. ,,32.5,True,35,27,0,118,114,0,0.2966101694915254,0.23684210526315788,0.0,True,False,False,0.0,True,False
"Las calles estaban vacías, y parecía como su hubiera caído un terrible destino. ","The streets became empty, and it was as if some terrible fate had fallen. ",,38.75,True,25,17,0,67,60,0,0.373134328358209,0.2833333333333333,0.0,True,False,False,0.0,True,False
"En minutos fueron rodeados por fuerzas de emergencia , golpeados y arrestados. ","Within minutes, they were surrounded by emergency forces , beaten and arrested. ",The police were attacked and arrested.,30.625,True,24,15,7,67,68,33,0.3582089552238806,0.22058823529411764,0.21212121212121213,False,False,False,0.4666666666666667,False,False
